id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,FGM,FGA,FTM,FTA,3PM,3PA,MP
401702889,Saniya Rivers,6,5,3,1,1,5,0,2,1,3,8,0,0,0,1,00:24:00
401702889,Madison Hayes,18,4,1,2,1,3,0,0,0,7,10,1,1,3,6,00:25:00
401702889,Tilda Trygger,4,2,0,2,0,2,0,0,1,2,4,0,0,0,0,00:13:00
401724488,Zoe Brooks,17,3,3,1,0,5,2,1,2,5,10,7,9,0,3,00:28:00
401724488,Aziaha James,12,3,1,2,0,6,0,1,2,4,10,3,3,1,4,00:23:00
401724488,Saniya Rivers,5,7,3,1,1,4,1,4,2,2,6,1,2,0,2,00:32:00
401724488,Madison Hayes,8,7,0,1,1,3,0,0,0,2,5,4,4,0,2,00:26:00
401724488,Tilda Trygger,5,2,0,0,1,0,0,1,0,2,2,1,1,0,0,00:08:00
401729147,Zoe Brooks,12,0,2,3,1,3,0,5,1,4,7,4,4,0,2,00:28:00
401729147,Aziaha James,13,2,4,1,0,9,0,2,3,4,13,2,2,3,8,00:32:00
401729147,Saniya Rivers,21,0,2,2,1,11,0,0,0,8,19,3,3,2,4,00:39:00
401729147,Madison Hayes,11,4,2,0,0,5,0,1,2,4,9,0,0,3,7,00:27:00
401729147,Tilda Trygger,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,00:05:00
401702890,Zoe Brooks,19,3,3,2,0,5,2,2,1,8,13,2,4,1,2,00:35:00
401702890,Aziaha James,11,5,3,4,1,10,3,1,1,4,14,2,5,1,2,00:32:00
401702890,Saniya Rivers,10,6,4,0,1,5,0,5,3,3,8,2,2,2,4,00:35:00
401702890,Madison Hayes,6,9,0,0,2,5,2,1,2,2,7,2,4,0,2,00:34:00
401702890,Tilda Trygger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00
401702891,Zoe Brooks,7,6,2,1,0,6,1,1,3,3,9,1,2,0,1,00:21:00
401702891,Aziaha James,12,2,1,1,0,4,0,2,2,4,8,2,2,2,5,00:16:00
401702891,Saniya Rivers,14,5,4,3,0,4,1,1,0,3,7,8,9,0,1,00:21:00
401702891,Madison Hayes,6,8,0,0,0,4,1,2,1,2,6,2,3,0,0,00:24:00
