id_game	player	id_player	EFF_per_min	Winscore_min	TS_min	home	sex	class
W401724678	Tilda Trygger	8	0.674418604651163	0.453488372093023	0.0223613595706619	1	1	1
W401724678	Zoe Brooks	10	0.645833333333333	0.229166666666667	0.0126564801178203	1	1	2
W401724678	Aziaha James	1	0.302325581395349	0.0581395348837209	0.0116980955500445	1	1	3
W401724678	Saniya Rivers	7	0.479166666666667	0.21875	0.00777363184079602	1	1	3
W401724678	Madison Hayes	6	0.325581395348837	0.13953488372093	0.0154879908501716	1	1	4
W401724690	Tilda Trygger	8	0.294117647058824	0.117647058823529	0.0294117647058824	1	1	1
W401724690	Zoe Brooks	10	0.961538461538462	0.576923076923077	0.0307258530942741	1	1	2
W401724690	Aziaha James	1	0.451612903225806	0.161290322580645	0.0154803326060034	1	1	3
W401724690	Saniya Rivers	7	0.444444444444444	0.222222222222222	0.0185185185185185	1	1	3
W401724690	Madison Hayes	6	0.642857142857143	0.410714285714286	0.0232342007434944	1	1	4
W401724695	Tilda Trygger	8	0.193548387096774	0.112903225806452	0.010752688172043	0	1	1
W401724695	Zoe Brooks	10	0.5625	0.21875	0.0247395833333333	0	1	2
W401724695	Aziaha James	1	0.62962962962963	0.259259259259259	0.0196785152042423	0	1	3
W401724695	Saniya Rivers	7	0.684210526315789	0.460526315789474	0.0087719298245614	0	1	3
W401724695	Madison Hayes	6	0.722222222222222	0.444444444444444	0.0195924764890282	0	1	4
W401743780	Tilda Trygger	8	0.263157894736842	0.0921052631578947	0.0117481203007519	1	1	1
W401743780	Zoe Brooks	10	0.475	0.25	0.0101039260969977	1	1	2
W401743780	Aziaha James	1	0.4	0.0333333333333333	0.0149142431021626	1	1	3
W401743780	Saniya Rivers	7	0.176470588235294	0.0147058823529412	0.0121647923875433	1	1	3
W401743780	Madison Hayes	6	0.4	0.271428571428571	0.0263466042154567	1	1	4
W401743783	Tilda Trygger	8	0.444444444444444	0.138888888888889	0.0455373406193078	1	1	1
W401743783	Zoe Brooks	10	0.162162162162162	0	0.00900900900900901	1	1	2
W401743783	Aziaha James	1	0.580645161290323	0.225806451612903	0.0174915304168508	1	1	3
W401743783	Saniya Rivers	7	0.315789473684211	0.157894736842105	0.00956937799043062	1	1	3
W401743783	Madison Hayes	6	0.454545454545455	0.257575757575758	0.0153355416513311	1	1	4
W401743785	Tilda Trygger	8	0.242424242424242	0.166666666666667	0.010307153164296	1	1	1
W401743785	Zoe Brooks	10	0.416666666666667	0.125	0.0171592377260982	1	1	2
W401743785	Aziaha James	1	0.0555555555555556	-0.222222222222222	0.0112007168458781	1	1	3
W401743785	Saniya Rivers	7	0.405405405405405	0.162162162162162	0.01453065969195	1	1	3
W401743785	Madison Hayes	6	0.216216216216216	0.162162162162162	0.0135135135135135	1	1	4
