id_game,player,points,rebounds,assists,steals,blocks,misses,misses_ft,turnovers,fouls,home,FGM,FGA,FTM,FTA,3PM,3PA,MP
401724893,Ben Middlebrooks,10,7,2,0,2,1,1,1,5,1,2,3,6,7,0,0,00:27:00
401724893,Dontrez Styles,22,10,1,0,1,8,0,2,5,1,9,17,0,0,4,11,00:34:00
401724893,Jayden Taylor,5,1,2,0,0,3,0,2,4,1,2,5,0,0,1,3,00:24:00
401724893,Trey Parker,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,00:05:00
401724893,Dennis Parker Jr.,4,1,0,1,0,3,1,1,3,1,1,4,1,2,1,3,00:05:00
401724899,Ben Middlebrooks,6,5,0,0,0,4,1,2,4,0,3,7,0,1,0,0,00:18:00
401724899,Dontrez Styles,17,2,1,1,1,8,0,1,3,0,6,14,1,1,4,10,00:27:00
401724899,Jayden Taylor,0,2,2,0,0,2,0,1,2,0,0,2,0,0,0,0,00:23:00
401724899,Trey Parker,3,2,1,1,0,3,0,0,2,0,1,4,0,0,1,2,00:14:00
401724899,Dennis Parker Jr.,5,1,0,0,0,1,0,1,1,0,2,3,0,0,1,2,00:06:00
401724903,Ben Middlebrooks,13,6,0,0,0,1,1,1,5,0,5,6,3,4,0,0,00:17:00
401724903,Dontrez Styles,13,5,0,0,2,8,0,1,3,0,4,12,2,2,3,8,00:30:00
401724903,Jayden Taylor,4,2,3,1,0,5,0,2,1,0,2,7,0,0,0,2,00:28:00
401724903,Trey Parker,4,3,4,1,0,3,1,3,2,0,1,4,1,2,1,2,00:15:00
401724903,Dennis Parker Jr.,3,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,00:06:00
401724918,Ben Middlebrooks,11,2,1,3,1,2,1,1,5,1,2,4,6,7,1,1,00:28:00
401724918,Dontrez Styles,13,13,1,1,1,7,0,2,1,1,6,13,0,0,1,5,00:36:00
401724918,Jayden Taylor,5,1,2,1,0,5,0,2,3,1,1,6,2,2,1,5,00:26:00
401724918,Trey Parker,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,00:02:00
401724918,Dennis Parker Jr.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,00:00:00
401724925,Ben Middlebrooks,1,3,1,1,0,1,1,0,4,0,0,1,1,2,0,0,00:17:00
401724925,Dontrez Styles,24,3,1,0,2,5,2,2,3,0,8,13,4,6,4,7,00:34:00
401724925,Jayden Taylor,1,2,2,0,0,3,1,0,2,0,0,3,1,2,0,1,00:16:00
401724925,Trey Parker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00
401724925,Dennis Parker Jr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00:00
